,Player,G,MP,FTr,USG%
436,Gary Neal,80,1685,.165,20.6
294,George Hill,76,2148,.427,18.2
288,Gerald Henderson,68,1661,.286,19.9
594,Gerald Wallace,71,2693,.439,20.3
24,Gilbert Arenas,70,1796,.208,24.7
167,Glen Davis,78,2298,.331,20.9
181,Goran Dragić,70,1234,.302,22.4
284,Gordon Hayward,72,1218,.331,15.3
295,Grant Hill,80,2409,.312,20.1
420,Greg Monroe,80,2222,.424,15.4
584,Greivis Vásquez,70,860,.189,16.9
600,Hakim Warrick,80,1416,.659,20.9
433,Hamady N'Diaye,16,80,2.400,7.3
268,Hamed Haddadi,31,168,.397,21.2
559,Hasheem Thabeet,47,373,.875,8.7
613,Hassan Whiteside,1,2,,0.0
575,Hedo Türkoğlu,81,2540,.216,16.7
591,Henry Walker,61,784,.186,16.6
29,Hilton Armstrong,53,488,.434,10.9
389,Ian Mahinmi,56,488,.837,15.3
173,Ike Diogu,36,470,.419,18.7
580,Ime Udoka,20,130,.381,10.4
525,Ish Smith,43,442,.183,15.9
44,J.J. Barea,81,1669,.242,23.9
292,J.J. Hickson,80,2256,.392,25.5
528,J.R. Smith,79,1968,.282,22.2
497,JJ Redick,59,1513,.286,17.0
403,JaVale McGee,79,2193,.381,16.3
388,Jamaal Magloire,18,158,.818,10.3
150,Jamal Crawford,76,2297,.297,23.4
421,Jamario Moon,59,1042,.069,12.0
437,Jameer Nelson,76,2319,.193,22.0
18,James Anderson,26,286,.222,16.4
274,James Harden,82,2189,.501,19.5
340,James Johnson,38,822,.300,18.2
351,James Jones,81,1549,.208,12.0
476,James Posey,49,839,.062,14.3
184,Jared Dudley,82,2140,.347,16.9
329,Jared Jeffries,42,601,.337,8.8
316,Jarrett Jack,83,1722,.336,23.0
138,Jarron Collins,28,181,.476,8.1
141,Jason Collins,49,593,.577,9.2
355,Jason Kapono,24,112,.071,12.7
356,Jason Kidd,80,2653,.129,14.3
397,Jason Maxiell,57,930,.524,13.9
498,Jason Richardson,80,2715,.151,20.6
529,Jason Smith,77,1102,.228,16.9
558,Jason Terry,82,2564,.196,24.7
565,Jason Thompson,75,1748,.375,17.9
619,Jason Williams,27,295,.000,13.2
622,Jawad Williams,26,391,.095,17.1
0,Jeff Adrien,23,196,.352,16.1
221,Jeff Foster,56,940,.287,10.1
260,Jeff Green,75,2427,.298,19.5
552,Jeff Teague,70,963,.319,20.3
198,Jeremy Evans,49,463,.322,14.9
380,Jeremy Lin,29,285,.347,15.6
444,Jermaine O'Neal,24,431,.394,17.2
549,Jermaine Taylor,34,483,.143,22.9
538,Jerry Stackhouse,7,50,.583,16.0
57,Jerryd Bayless,71,1496,.398,22.1
438,Joakim Noah,48,1576,.468,16.8
407,Jodie Meeks,74,2062,.298,15.7
343,Joe Johnson,72,2554,.209,26.3
530,Joe Smith,16,69,.125,14.5
23,Joel Anthony,75,1463,.737,5.3
485,Joel Przybilla,36,519,.614,7.7
176,Joey Dorsey,43,522,.657,14.3
255,Joey Graham,39,586,.201,17.2
469,Johan Petro,77,893,.097,18.1
386,John Lucas III,2,10,.667,17.8
511,John Salmons,73,2554,.267,20.9
592,John Wall,69,2606,.404,23.8
93,Jon Brockman,63,677,.628,10.0
218,Jonny Flynn,53,983,.142,18.5
151,Jordan Crawford,42,1027,.168,27.0
207,Jordan Farmar,73,1796,.154,21.6
296,Jordan Hill,72,1125,.241,17.7
134,Josh Childress,54,894,.276,14.3
305,Josh Howard,18,409,.290,21.9
406,Josh McRoberts,72,1597,.308,14.7
480,Josh Powell,54,653,.216,20.4
