Player,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,% of FGA by Distance: 2P,% of FGA by Distance: 0-3ft,% of FGA by Distance: 3-10ft,% of FGA by Distance: 10-16ft,% of FGA by Distance: 16-3P,% of FGA by Distance: 3P,FG% by Distance: 2P,FG% by Distance: 0-3ft,FG% by Distance: 3-10ft,FG% by Distance: 10-16ft,FG% by Distance: 16-3P,FG% by Distance: 3P,% of FG Ast'd: 2P,% of FG Ast'd: 3P
Matt Bonner,33,SAS,NBA,PF,61,690,.445,18.9,.402,.043,.213,.061,.085,.598,.470,.714,.429,.200,.643,.429,.774,.976
Trevor Booker,26,WAS,NBA,PF,72,1553,.551,7.4,.995,.417,.280,.114,.184,.005,.554,.726,.442,.457,.392,.000,.635,
Carlos Boozer,32,CHI,NBA,PF,76,2141,.456,9.5,.998,.334,.161,.236,.267,.002,.457,.615,.367,.377,.385,.000,.711,
Omri Casspi,25,HOU,NBA,PF,71,1283,.422,14.2,.571,.222,.239,.049,.059,.429,.479,.692,.388,.250,.250,.347,.696,.902
Earl Clark,26,TOT,NBA,PF,54,768,.372,17.4,.533,.161,.088,.077,.207,.467,.403,.524,.435,.300,.333,.336,.643,1.000
Nick Collison,33,OKC,NBA,PF,81,1353,.556,7.4,.929,.577,.120,.025,.207,.071,.580,.655,.552,.500,.400,.235,.700,1.000
Dante Cunningham,26,MIN,NBA,PF,81,1635,.464,13.9,.990,.226,.075,.108,.582,.010,.468,.704,.421,.436,.392,.000,.847,
Brandon Davies,22,PHI,NBA,PF,51,575,.422,7.5,.922,.461,.227,.094,.141,.078,.441,.576,.379,.250,.222,.200,.731,1.000
Anthony Davis,20,NOP,NBA,PF,67,2358,.519,8.3,.991,.396,.207,.180,.208,.009,.522,.704,.409,.431,.368,.222,.667,1.000
Ed Davis,24,MEM,NBA,PF,63,956,.534,5.3,1.000,.517,.252,.186,.045,.000,.534,.680,.342,.444,.308,,.703,
Glen Davis,28,TOT,NBA,PF,68,1662,.457,11.1,.981,.278,.187,.157,.359,.019,.459,.612,.360,.409,.413,.364,.682,.750
