,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
599,Keith Langford,0,0.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
207,Kelenna Azubuike,17,3.2,7.2,1.7,1.3,2.7,0.9,0.6,0.4,0.7,2.0
273,Kendrick Perkins,78,2.7,4.5,2.3,1.9,4.2,1.1,0.4,1.5,1.6,3.1
584,Kenny Thomas,3,0.7,1.7,0.2,0.8,1.9,0.6,0.3,0.0,0.9,1.7
114,Kenyon Martin,71,5.3,9.8,3.0,1.5,5.0,1.3,1.2,1.2,1.3,3.3
28,Kevin Durant,80,7.3,17.1,5.6,0.9,3.5,2.4,1.0,0.9,2.9,1.5
47,Kevin Garnett,71,7.5,13.9,4.7,1.9,7.3,3.4,1.4,1.3,1.9,2.3
6,Kevin Martin,57,6.8,15.0,9.5,0.8,3.7,2.1,1.0,0.1,2.1,2.5
553,Kevin Ollie,0,0.7,1.7,0.4,0.1,0.4,1.0,0.3,0.0,0.1,0.7
225,Keyon Dooling,1,2.8,5.9,2.7,0.1,1.3,1.8,0.5,0.1,0.8,1.8
138,Kirk Hinrich,72,4.4,10.6,1.9,0.4,2.9,6.0,1.2,0.3,2.1,3.0
260,Kirk Snyder,18,2.7,5.3,2.4,0.8,2.7,1.8,0.6,0.4,1.4,1.5
1,Kobe Bryant,82,9.5,20.6,9.0,1.1,5.2,5.4,1.8,0.5,3.1,2.8
583,Kosta Perović,0,0.4,1.4,0.9,0.9,1.0,0.1,0.0,0.3,0.1,0.9
325,Kris Humphries,0,2.3,4.8,1.8,1.3,2.4,0.4,0.4,0.4,0.7,1.5
291,Kurt Thomas,48,2.8,5.7,1.1,1.9,5.4,1.0,0.8,0.8,0.7,2.7
373,Kwame Brown,15,1.9,3.7,2.6,1.3,3.6,1.2,0.6,0.6,1.3,2.2
172,Kyle Korver,0,3.4,7.7,1.7,0.3,2.0,1.3,0.6,0.4,1.0,2.6
179,Kyle Lowry,9,3.1,7.2,4.2,0.5,2.5,3.6,1.1,0.3,1.5,2.3
569,Kyrylo Fesenko,0,0.7,1.8,0.4,1.6,1.2,0.2,0.0,0.3,0.9,2.1
52,LaMarcus Aldridge,76,7.4,15.3,3.9,2.9,4.7,1.6,0.7,1.2,1.7,3.2
80,Lamar Odom,77,5.4,10.3,4.3,2.6,8.1,3.5,1.0,0.9,2.0,2.9
597,Lance Allred,0,0.3,1.3,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.3
118,Larry Hughes,57,4.5,11.8,2.8,0.6,2.8,2.7,1.5,0.3,1.7,2.0
0,LeBron James,74,10.6,21.9,10.3,1.8,6.1,7.2,1.8,1.1,3.4,2.2
624,League Average,,,,,,,,,,,
67,Leandro Barbosa,12,5.8,12.5,2.6,0.5,2.3,2.6,0.9,0.2,1.4,2.4
236,Leon Powe,5,2.8,4.8,3.4,1.7,2.4,0.3,0.3,0.3,0.8,2.3
147,Linas Kleiza,13,3.9,8.3,2.7,1.2,3.1,1.2,0.6,0.2,1.1,2.3
509,Lindsey Hunter,0,0.9,2.7,0.4,0.2,0.4,1.4,0.5,0.1,0.5,1.3
499,Linton Johnson,0,1.1,2.4,0.3,0.6,1.1,0.5,0.0,0.1,0.6,1.4
607,Loren Woods,0,0.4,0.7,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.3
612,Lorenzen Wright,1,0.3,1.2,0.3,0.4,1.7,0.2,0.2,0.2,0.2,1.7
595,Lou Amundson,0,0.5,1.0,0.4,0.4,0.3,0.0,0.1,0.1,0.1,0.8
139,Lou Williams,0,4.0,9.4,3.6,0.5,1.6,3.2,1.0,0.2,1.6,1.6
164,Luis Scola,39,4.2,8.2,2.9,2.1,4.3,1.3,0.7,0.2,1.3,2.9
336,Luke Jackson,1,1.9,5.7,1.6,0.5,1.9,1.2,0.6,0.0,0.6,1.6
290,Luke Ridnour,5,2.4,6.0,1.5,0.2,1.3,4.0,0.6,0.2,1.3,2.0
267,Luke Walton,31,2.9,6.5,1.5,1.1,2.8,2.9,0.8,0.2,1.4,1.8
60,Luol Deng,59,6.8,14.2,4.2,2.2,4.1,2.5,0.9,0.5,1.9,1.9
248,Luther Head,17,2.8,6.5,1.1,0.2,1.6,1.9,0.6,0.1,1.0,1.0
498,Maceo Baston,2,1.1,1.7,0.7,0.6,1.1,0.2,0.1,0.3,0.3,1.3
390,Malik Allen,16,2.2,4.5,0.3,0.9,1.8,0.6,0.3,0.4,0.6,2.0
457,Malik Rose,3,1.3,3.7,1.0,0.6,1.5,0.6,0.3,0.1,0.8,1.6
36,Manu Ginóbili,23,6.1,13.3,6.0,0.9,3.9,4.5,1.5,0.4,2.7,2.3
479,Marcin Gortat,0,1.3,2.8,0.5,1.3,1.3,0.3,0.2,0.2,0.3,0.7
486,Marco Belinelli,0,1.1,2.8,0.3,0.1,0.3,0.5,0.2,0.0,0.4,0.5
281,Marcus Banks,3,2.4,5.3,1.0,0.1,1.1,1.7,0.4,0.4,1.0,1.8
192,Marcus Camby,79,3.6,8.0,2.6,2.9,10.2,3.3,1.1,3.6,1.5,2.7
520,Marcus Vinicius,0,0.7,1.5,0.8,0.1,0.5,0.2,0.1,0.1,0.2,0.3
310,Marcus Williams,7,2.1,5.5,0.9,0.3,1.6,2.6,0.5,0.1,1.4,1.0
470,Mardy Collins,8,1.2,3.8,0.8,0.4,1.2,1.9,0.5,0.2,1.2,1.2
606,Mario West,2,0.3,0.8,0.4,0.4,0.3,0.2,0.2,0.1,0.1,1.0
212,Mark Blount,46,3.4,7.5,2.0,1.0,2.8,0.6,0.5,0.5,1.0,1.9
620,Mark Madsen,6,0.2,1.0,0.6,0.9,1.0,0.2,0.2,0.1,0.5,1.3
219,Marko Jarić,56,3.0,7.0,2.2,0.5,2.5,4.1,1.3,0.4,1.7,2.4
222,Marquis Daniels,1,3.3,7.6,1.9,0.9,2.0,1.9,1.1,0.2,1.5,1.6
157,Martell Webster,70,3.7,8.7,2.2,0.7,3.2,1.2,0.6,0.4,1.1,2.1
76,Marvin Williams,80,5.3,11.5,5.1,1.5,4.2,1.7,1.0,0.4,1.6,2.8
276,Matt Barnes,18,2.6,6.1,1.1,1.3,3.2,1.9,0.7,0.5,1.2,2.2
380,Matt Bonner,3,1.8,4.3,0.6,0.8,2.0,0.5,0.2,0.3,0.6,1.6
195,Matt Carroll,18,3.2,7.4,1.7,0.4,2.4,0.9,0.6,0.2,0.7,2.3
