,Player,G,MP,FTr,USG%
406,Brian Scalabrine,59,724,.213,14.4
408,Brian Shaw,72,900,.057,15.9
411,Brian Skinner,77,1381,.486,15.1
46,Bruce Bowen,82,2566,.186,10.7
431,Bruno Šundov,26,138,.036,22.2
125,Bryce Drew,13,79,.000,17.3
394,Bryon Russell,70,1388,.225,13.3
87,Calbert Cheaney,81,2351,.106,15.5
43,Calvin Booth,47,575,.395,13.2
19,Carlos Arroyo,44,287,.202,23.8
44,Carlos Boozer,81,2049,.311,17.1
74,Caron Butler,78,2858,.363,22.9
225,Casey Jacobsen,72,1147,.321,16.7
449,Cezary Trybański,15,86,.500,17.0
333,Charles Oakley,42,514,.618,8.4
414,Charles Smith,3,13,1.000,24.0
463,Charlie Ward,66,1465,.128,16.8
38,Chauncey Billups,74,2327,.416,24.1
351,Cherokee Parks,30,648,.233,13.8
9,Chris Andersen,59,907,.491,19.9
88,Chris Childs,12,106,.150,11.6
101,Chris Crawford,5,38,.615,22.3
127,Chris Dudley,3,11,.000,4.2
230,Chris Jefferies,51,666,.222,17.7
297,Chris Mihm,52,809,.366,20.5
305,Chris Mills,21,262,.170,20.1
343,Chris Owens,1,6,.000,30.0
466,Chris Webber,67,2622,.247,30.4
473,Chris Whitney,51,1052,.198,19.1
476,Chris Wilcox,46,479,.357,17.7
253,Christian Laettner,76,2215,.279,14.2
20,Chucky Atkins,65,1398,.105,19.4
465,Clarence Weatherspoon,79,2024,.469,12.8
384,Clifford Robinson,81,2825,.255,20.4
35,Corey Benjamin,9,152,.372,16.9
270,Corey Maggette,64,2006,.524,24.8
39,Corie Blount,50,836,.261,10.2
494,Corliss Williamson,82,2061,.363,25.3
2,Courtney Alexander,66,1360,.289,21.3
308,Cuttino Mobley,73,3044,.264,20.6
457,Dajuan Wagner,47,1385,.264,23.8
111,Dale Davis,78,2282,.379,11.8
22,Dalibor Bagarić,10,76,.154,19.1
239,Damon Jones,49,709,.129,15.2
426,Damon Stoudamire,59,1315,.161,18.5
56,Damone Brown,5,115,.229,17.7
117,Dan Dickau,50,515,.153,20.9
150,Dan Gadzuric,49,760,.386,12.0
256,Dan Langhi,60,541,.099,18.8
135,Danny Ferry,64,601,.105,12.1
142,Danny Fortson,17,223,.537,15.6
274,Danny Manning,13,89,.188,22.5
298,Darius Miles,67,2008,.241,19.2
18,Darrell Armstrong,82,2350,.292,16.9
175,Darvin Ham,75,926,.497,12.8
385,David Robinson,64,1676,.510,16.5
470,David Wesley,73,2710,.229,21.4
120,DeSagana Diop,80,943,.195,10.3
421,DeShawn Stevenson,61,760,.239,22.0
336,Dean Oliver,15,93,.276,19.5
10,Derek Anderson,76,2556,.323,19.5
137,Derek Fisher,82,2829,.161,14.5
93,Derrick Coleman,64,1742,.343,17.3
284,Desmond Mason,80,2763,.278,21.3
154,Devean George,71,1613,.228,15.7
57,Devin Brown,10,93,.229,23.0
320,Dikembe Mutombo,24,514,.420,16.6
160,Dion Glover,76,1890,.250,20.1
329,Dirk Nowitzki,80,3117,.368,27.4
377,Don Reid,1,10,.667,18.7
189,Donnell Harvey,77,1613,.319,20.7
278,Donny Marshall,3,6,.000,30.1
279,Donyell Marshall,78,2378,.241,21.5
89,Doug Christie,80,2710,.312,12.7
164,Drew Gooden,70,1873,.273,24.5
49,Earl Boykins,68,1321,.431,20.1
464,Earl Watson,79,1366,.220,17.0
171,Eddie Griffin,77,1890,.139,19.4
203,Eddie House,55,1025,.081,23.2
240,Eddie Jones,47,1789,.334,23.0
386,Eddie Robinson,64,1355,.200,12.9
105,Eddy Curry,81,1571,.501,23.6
324,Eduardo Nájera,48,1103,.394,12.1
378,Efthimios Rentzias,35,144,.153,20.9
78,Elden Campbell,56,869,.461,21.3
52,Elton Brand,62,2454,.396,22.4
112,Emanual Davis,24,340,.250,16.5
360,Eric Piatkowski,62,1360,.274,18.5
417,Eric Snow,82,3108,.474,16.8
483,Eric Williams,82,2350,.466,15.6
107,Erick Dampier,82,1978,.425,15.7
428,Erick Strickland,71,1275,.229,18.3
235,Ervin Johnson,69,1170,.326,7.5
437,Etan Thomas,38,513,.758,18.2
133,Evan Eschmeyer,17,135,.211,9.0
484,Frank Williams,21,167,.182,14.6
201,Fred Hoiberg,63,784,.397,9.8
241,Fred Jones,19,115,.167,12.5
353,Gary Payton,80,3208,.240,26.4
