,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
573,Dario Šarić,37,533,.427,13.5,.612,.236,.247,.073,.056,.388,.450,.643,.386,.308,.100,.391,.633,1.000,.319,.409
555,David Roddy,70,1258,.429,14.5,.495,.271,.183,.026,.014,.505,.553,.711,.351,.545,.167,.307,.609,.969,.415,.341
647,Dean Wade,44,891,.412,19.0,.282,.164,.062,.045,.011,.718,.560,.759,.364,.250,.000,.354,.821,1.000,.409,.404
101,Deonte Burton,2,6,.000,13.8,.500,.000,.500,.000,.000,.500,.000,,.000,,,.000,,,1.000,.000
335,Derrick Jones Jr.,64,893,.500,9.7,.652,.548,.096,.009,.000,.348,.587,.627,.364,.500,,.338,.739,1.000,.600,.375
32,Dominick Barlow,28,408,.535,5.5,.953,.523,.256,.140,.035,.047,.561,.711,.409,.250,.667,.000,.739,,.750,.000
196,Dorian Finney-Smith,66,2009,.391,17.8,.325,.218,.088,.012,.008,.675,.503,.642,.227,.000,.500,.337,.671,.974,.382,.380
235,Draymond Green,73,2297,.527,10.3,.724,.297,.363,.040,.023,.276,.612,.709,.570,.474,.273,.305,.852,1.000,.298,.308
50,Dāvis Bertāns,45,492,.431,23.4,.119,.081,.025,.006,.006,.881,.737,.769,.500,1.000,1.000,.390,.929,.982,.220,.452
444,Evan Mobley,79,2715,.554,7.2,.892,.404,.320,.122,.035,.108,.595,.817,.409,.362,.455,.216,.724,.955,.392,.200
472,Georges Niang,78,1512,.442,20.7,.235,.094,.112,.024,.004,.765,.576,.681,.536,.333,.500,.401,.735,.994,.190,.534
