,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
390,Dale Davis,28,1.8,3.8,2.5,3.7,0.8,0.5,1.1,0.7,2.7
312,Damien Wilkins,7,2.5,5.8,1.0,1.3,0.9,0.8,0.3,0.6,1.9
135,Damon Jones,66,4.0,8.9,0.2,2.6,4.3,0.5,0.1,1.2,1.5
68,Damon Stoudamire,70,5.6,14.4,0.7,3.1,5.7,1.1,0.0,2.0,2.0
432,Damone Brown,0,1.6,4.4,0.7,1.3,1.0,0.1,0.4,1.1,1.2
108,Dan Dickau,46,4.3,10.6,0.5,2.1,4.9,1.1,0.1,2.0,2.8
256,Dan Gadzuric,81,3.0,5.6,3.2,5.1,0.4,0.6,1.3,1.0,2.8
543,Daniel Santiago,0,0.6,1.9,0.5,1.2,0.1,0.3,0.4,0.4,2.5
245,Danny Fortson,0,1.9,3.6,2.5,3.1,0.1,0.2,0.1,1.5,4.3
103,Darius Miles,22,5.3,11.1,1.1,3.6,2.0,1.2,1.2,2.5,3.0
247,Darius Songaila,21,3.2,6.0,1.5,2.7,1.4,0.6,0.2,0.9,2.5
550,Darko Miličić,2,0.7,2.1,0.1,1.1,0.2,0.1,0.5,0.4,0.8
421,Darrell Armstrong,16,1.3,4.2,0.5,1.2,2.7,0.7,0.1,1.0,1.4
442,Darrick Martin,0,1.5,4.5,0.3,0.6,2.5,0.5,0.0,0.5,1.7
594,Darvin Ham,0,0.4,0.8,0.4,0.3,0.1,0.1,0.1,0.2,0.8
319,David Harrison,14,2.5,4.3,1.1,2.0,0.3,0.4,1.3,1.2,3.1
122,David Wesley,79,4.2,10.5,0.5,2.4,3.3,1.2,0.1,1.4,2.7
317,David West,8,2.5,5.7,1.3,3.0,0.8,0.4,0.5,1.2,2.1
593,DeSagana Diop,0,0.5,1.8,0.8,1.0,0.4,0.2,0.7,0.3,1.4
226,DeShawn Stevenson,27,3.2,7.7,0.7,1.2,1.3,0.3,0.2,1.0,1.3
409,Delonte West,7,1.7,4.0,0.4,1.3,1.4,0.5,0.2,0.6,1.8
260,DerMarr Johnson,40,2.6,5.2,0.6,1.5,1.1,0.6,0.3,0.9,2.0
198,Derek Anderson,32,3.2,8.3,0.5,2.2,3.0,0.8,0.1,1.5,1.9
127,Derek Fisher,32,4.0,10.2,0.5,2.4,4.1,1.0,0.1,1.7,2.4
549,Derrick Coleman,0,0.6,2.8,0.6,2.4,0.0,0.0,0.0,0.4,1.2
56,Desmond Mason,71,6.0,13.5,1.1,2.8,2.7,0.7,0.3,2.1,2.5
257,Devean George,3,2.5,6.9,0.9,2.7,0.9,0.5,0.1,0.8,2.1
249,Devin Brown,0,2.6,6.1,0.6,2.1,1.4,0.6,0.2,0.8,1.2
340,Devin Harris,19,2.1,4.8,0.4,1.0,2.2,1.0,0.3,1.1,1.8
426,Dikembe Mutombo,2,1.4,2.7,1.9,3.5,0.1,0.2,1.3,0.6,1.7
454,Dion Glover,0,1.1,3.1,0.4,1.1,0.6,0.4,0.4,0.3,1.3
3,Dirk Nowitzki,78,8.5,18.5,1.2,8.5,3.1,1.2,1.5,2.3,2.8
506,Donnell Harvey,0,0.7,0.7,0.7,1.7,0.3,0.3,0.3,0.3,0.7
466,Donta Smith,0,1.2,3.0,0.5,0.9,1.0,0.6,0.1,0.7,1.3
141,Donyell Marshall,2,4.0,9.1,1.5,5.1,1.2,0.9,0.7,0.6,2.1
527,Dorell Wright,0,1.0,3.7,0.0,0.3,1.0,1.3,0.0,1.0,0.7
283,Doug Christie,44,2.5,6.4,0.7,2.7,3.8,1.5,0.3,2.0,2.0
88,Drew Gooden,80,5.7,11.5,2.5,6.7,1.6,0.9,0.9,1.6,2.8
118,Dwight Howard,82,4.3,8.3,3.5,6.5,0.9,0.9,1.7,2.0,2.8
12,Dwyane Wade,77,8.2,17.1,1.4,3.7,6.8,1.6,1.1,4.2,3.0
115,Earl Boykins,5,4.1,10.0,0.5,1.3,4.5,1.0,0.1,1.5,1.5
236,Earl Watson,14,3.0,6.9,0.4,1.6,4.5,1.0,0.2,2.1,2.3
446,Eddie Gill,3,1.1,3.3,0.2,1.3,1.1,0.8,0.1,0.8,1.4
246,Eddie Griffin,0,2.9,7.5,1.8,4.6,0.8,0.3,1.7,0.8,1.7
331,Eddie House,7,2.4,5.4,0.2,1.0,1.4,0.6,0.1,0.5,1.0
106,Eddie Jones,80,4.4,10.3,0.5,4.6,2.7,1.1,0.5,1.2,3.1
