,index,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
499,499,2018DEN,-0.0015294084279843375,-0.002195047421093125,0.5609756097560976,79.0,2.73,2018,-0.0018622279245387313
500,500,2018DET,-0.0029832993213530284,0.0004832026376649744,0.47560975609756095,78.3,3.22,2018,-0.001250048341844027
501,501,2018GSW,0.0013119259893708015,-0.002073135659774129,0.7073170731707317,79.8,2.65,2018,-0.0003806048352016637
502,502,2018HOU,-0.0006833875533282279,3.5251330373789474e-05,0.7926829268292683,79.0,3.2,2018,-0.0003240681114772192
503,503,2018IND,-0.0022523128616937665,0.002214529759000277,0.5853658536585366,78.4,3.73,2018,-1.889155134674478e-05
504,504,2018LAC,-0.0008157755329801224,-0.0018278393489885726,0.5121951219512195,79.1,2.65,2018,-0.0013218074409843475
505,505,2018LAL,0.001719457770075589,-0.0021812087248687458,0.4268292682926829,79.9,2.8,2018,-0.0002308754773965784
506,506,2018MEM,9.409259571086873e-05,-0.0014780135905939763,0.2682926829268293,79.4,2.95,2018,-0.0006919604974415538
507,507,2018MIA,-0.0019155522848653592,-0.0017152636612100605,0.5365853658536586,78.9,3.1,2018,-0.0018154079730377099
508,508,2018MIL,-0.0009604980211041338,0.0006149792200134597,0.5365853658536586,79.0,3.44,2018,-0.00017275940054533706
509,509,2018MIN,0.0003826777331503518,-6.363474313448141e-05,0.573170731707317,79.4,3.27,2018,0.00015952149500793517
510,510,2018NOP,-0.00368228708489675,0.002305746909144373,0.5853658536585366,78.0,3.64,2018,-0.0006882700878761885
511,511,2018NYK,0.0008361275841839592,-0.001757356941092891,0.35365853658536583,79.8,3.16,2018,-0.00046061467845446587
512,512,2018OKC,-0.00045459387686327653,-0.0033418748059980607,0.5853658536585366,79.1,2.5,2018,-0.0018982343414306686
513,513,2018ORL,-0.00297556226781575,-0.00030453807491214726,0.3048780487804878,78.2,3.07,2018,-0.0016400501713639485
514,514,2018PHI,-0.00016782180291904266,0.0007544974759955173,0.6341463414634146,79.2,3.44,2018,0.00029333783653823735
515,515,2018PHO,0.0020005317288484133,0.002832153329832934,0.25609756097560976,79.7,4.33,2018,0.002416342529340674
516,516,2018POR,-0.0013720533449804086,0.001701820785751803,0.5975609756097561,78.8,3.69,2018,0.00016488372038569717
517,517,2018SAC,0.0008094670312675603,-0.0007667815478240208,0.32926829268292684,79.7,3.25,2018,2.1342741721769765e-05
518,518,2018SAS,0.0010146431261896882,0.00023321331380448746,0.573170731707317,79.6,3.33,2018,0.0006239282199970879
519,519,2018TOR,-0.00010257130578715301,0.00196082786164886,0.7195121951219512,79.1,4.0,2018,0.0009291282779308534
