,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
258,2009TOR,0.002748422640917333,-0.0022645224176321608,0.4024390243902439,80.3,2.71,2009,0.00024195011164258613
259,2009UTA,-0.00045852395031349577,-0.0005686380022647918,0.5853658536585366,78.9,3.44,2009,-0.0005135809762891437
260,2009WAS,0.0023739214521920284,-0.0014869747077807672,0.23170731707317074,80.1,2.87,2009,0.0004434733722056306
261,2010ATL,0.00028280905209096633,-0.000261103175774249,0.6463414634146342,79.3,3.06,2010,1.0852938158358667e-05
262,2010BOS,-0.0005733025917520258,0.0014749732352012251,0.6097560975609756,79.0,3.58,2010,0.00045083532172459967
263,2010CHI,0.0012552415625977419,0.00026867818752195776,0.5,79.6,3.24,2010,0.0007619598750598499
264,2010CLE,0.0028629226812662556,0.0024093403339699162,0.7439024390243902,80.3,4.35,2010,0.002636131507618086
265,2010DAL,-0.001989560722691302,0.004671994338754799,0.6707317073170732,78.3,4.47,2010,0.0013412168080317486
266,2010DEN,-0.0026088934707216246,0.0020211679701768,0.6463414634146342,78.3,3.68,2010,-0.0002938627502724123
267,2010DET,0.001509277925767346,0.0008387236946734587,0.32926829268292684,79.6,3.45,2010,0.0011740008102204024
268,2010GSW,-0.0013697592259299784,0.0003790843554449111,0.3170731707317073,78.9,3.32,2010,-0.0004953374352425336
269,2010HOU,2.7889675065502037e-05,0.0007222526788601407,0.5121951219512195,79.0,3.5,2010,0.00037507117696282134
270,2010IND,-0.002037950136932851,0.0037600037589259963,0.3902439024390244,78.6,4.39,2010,0.0008610268109965726
271,2010LAC,0.0021286695337201984,0.00025512668011579614,0.35365853658536583,80.0,3.35,2010,0.0011918981069179973
272,2010LAL,0.0007233532026463197,0.0011852484421534836,0.6951219512195121,79.5,3.66,2010,0.0009543008223999016
273,2010MEM,-0.0014106833712900738,0.001288716629350048,0.4878048780487805,79.1,4.13,2010,-6.098337097001287e-05
274,2010MIA,-0.0014984341643990273,0.000582005682640065,0.573170731707317,78.7,3.28,2010,-0.0004582142408794811
275,2010MIL,-0.00010677919058074529,0.0009546267969099884,0.5609756097560976,79.1,3.38,2010,0.00042392380316462155
276,2010MIN,2.7888317495318534e-06,0.0004967487433964759,0.18292682926829268,79.2,3.38,2010,0.00024976878757300387
277,2010NJN,0.0001245596917792269,-0.0013794412105830175,0.14634146341463414,79.6,3.33,2010,-0.0006274407594018953
278,2010NOH,-0.00045909927959445374,0.0022241069733981178,0.45121951219512196,78.8,3.66,2010,0.0008825038469018321
279,2010NYK,-0.0016570519404831743,0.004121997753569712,0.35365853658536583,78.3,4.31,2010,0.001232472906543269
280,2010OKC,0.003351357955249367,-0.0010236898170555312,0.6097560975609756,80.4,3.05,2010,0.001163834069096918
281,2010ORL,-0.0009126277894421749,0.0022085637277138473,0.7195121951219512,78.8,3.69,2010,0.0006479679691358362
282,2010PHI,0.0002469792918468361,-0.0013760070004268318,0.32926829268292684,79.4,2.74,2010,-0.0005645138542899979
283,2010PHO,0.001409143950119523,-0.00017141831316749067,0.6585365853658537,79.9,3.41,2010,0.0006188628184760162
284,2010POR,-0.0015602402465104412,-0.001925439760317456,0.6097560975609756,78.9,2.62,2010,-0.0017428400034139487
285,2010SAC,0.0041884985270518585,-0.002061925736274592,0.3048780487804878,80.7,2.82,2010,0.0010632863953886332
286,2010SAS,-0.0010014849975156506,-0.0023121554908532606,0.6097560975609756,79.1,2.65,2010,-0.0016568202441844555
287,2010TOR,0.0009315377157277768,-0.0009857678829286733,0.4878048780487805,79.7,3.03,2010,-2.711508360044826e-05
288,2010UTA,-0.0005860128496411434,-0.002167879493355186,0.6463414634146342,79.1,2.62,2010,-0.0013769461714981646
289,2010WAS,0.002704344179770373,0.002928963947193297,0.3170731707317073,79.2,5.33,2010,0.0028166540634818353
290,2011ATL,-0.0018666109742077911,-0.0008161020261520552,0.5365853658536586,78.7,2.96,2011,-0.0013413565001799232
291,2011BOS,-0.001071759320174546,0.00270009853890502,0.6829268292682927,78.7,4.42,2011,0.0008141696093652371
292,2011CHI,0.0019183930726113783,-0.0006148828098648436,0.7560975609756098,79.9,3.1,2011,0.0006517551313732674
293,2011CLE,-0.0011493623096696809,0.0011972504739732922,0.23170731707317074,78.9,3.58,2011,2.3944082151805676e-05
294,2011DAL,-0.00014642771045529298,0.003125377048884289,0.6951219512195121,79.2,4.41,2011,0.001489474669214498
295,2011DEN,-0.0029545068333926387,0.0017740304733086438,0.6097560975609756,78.2,3.58,2011,-0.0005902381800419975
296,2011DET,0.0021177604398590643,0.001095807200831769,0.36585365853658536,79.8,3.55,2011,0.0016067838203454167
297,2011GSW,0.0013707575592642432,0.00023875701142231977,0.43902439024390244,79.7,3.22,2011,0.0008047572853432815
298,2011HOU,0.0010390568635553514,-0.0012056025699136552,0.524390243902439,79.6,2.91,2011,-8.32728531791519e-05
299,2011IND,0.005184637936223556,-0.0001131609574818938,0.45121951219512196,80.9,3.44,2011,0.0025357384893708312
300,2011LAC,-0.0024387571942960547,0.0019574240391484793,0.3902439024390244,78.4,3.83,2011,-0.00024066657757378768
301,2011LAL,0.0004831997603526775,0.00032728204681758705,0.6951219512195121,79.5,3.49,2011,0.00040524090358513224
302,2011MEM,-0.00035092740964438917,-0.0009111683056009516,0.5609756097560976,79.1,2.97,2011,-0.0006310478576226704
303,2011MIA,0.0014629578486396607,0.00352435185461418,0.7073170731707317,79.7,4.47,2011,0.0024936548516269206
304,2011MIL,-0.0016891280550359686,0.004550635488067518,0.4268292682926829,78.1,5.26,2011,0.0014307537165157745
